Gene	Comparison	Set	Type	Count
Gpr107	het_vs_wt	not_used	filtered	0
Gpr107	het_vs_wt	ko_response	filtered	3
H13	het_vs_wt	ko_response	unfiltered	0
H13	het_vs_wt	mrna_abnormal	filtered	0
H13	het_vs_wt	mrna_as_wt	filtered	20
H13	het_vs_wt	not_used	filtered	0
H13	het_vs_wt	ko_response	filtered	0
Hira	het_vs_wt	ko_response	unfiltered	1
Hira	het_vs_wt	mrna_abnormal	filtered	1
Hira	het_vs_wt	mrna_as_wt	filtered	0
Hira	het_vs_wt	not_used	filtered	1
Hira	het_vs_wt	ko_response	filtered	0
Hmgxb3	het_vs_wt	ko_response	unfiltered	1
Hmgxb3	het_vs_wt	ko_response	filtered	NA
Ift140	het_vs_wt	ko_response	unfiltered	NA
Ift140	het_vs_wt	ko_response	filtered	NA
Kif18b	het_vs_wt	ko_response	unfiltered	0
Kif18b	het_vs_wt	mrna_abnormal	filtered	0
Kif18b	het_vs_wt	mrna_as_wt	filtered	5
Kif18b	het_vs_wt	not_used	filtered	0
Kif18b	het_vs_wt	ko_response	filtered	0
Kif3b	het_vs_wt	ko_response	unfiltered	0
Kif3b	het_vs_wt	mrna_abnormal	filtered	0
Kif3b	het_vs_wt	mrna_as_wt	filtered	0
Kif3b	het_vs_wt	not_used	filtered	0
Kif3b	het_vs_wt	ko_response	filtered	1
Kifap3	het_vs_wt	ko_response	unfiltered	1
Kifap3	het_vs_wt	ko_response	filtered	NA
Lztr	het_vs_wt	ko_response	unfiltered	0
Lztr	het_vs_wt	mrna_abnormal	filtered	0
Lztr	het_vs_wt	mrna_as_wt	filtered	4
Lztr	het_vs_wt	not_used	filtered	8
Lztr	het_vs_wt	ko_response	filtered	19
Mad2l2	het_vs_wt	ko_response	unfiltered	1
Mad2l2	het_vs_wt	mrna_abnormal	filtered	0
Mad2l2	het_vs_wt	mrna_as_wt	filtered	0
Mad2l2	het_vs_wt	not_used	filtered	1
Mad2l2	het_vs_wt	ko_response	filtered	1
Map2k7	het_vs_wt	ko_response	unfiltered	0
Map2k7	het_vs_wt	ko_response	filtered	NA
Mir96	het_vs_wt	ko_response	unfiltered	0
Mir96	het_vs_wt	ko_response	filtered	NA
Morc2a	het_vs_wt	ko_response	unfiltered	9
Morc2a	het_vs_wt	mrna_abnormal	filtered	3
Morc2a	het_vs_wt	mrna_as_wt	filtered	0
Morc2a	het_vs_wt	not_used	filtered	5
Morc2a	het_vs_wt	ko_response	filtered	6
Mtor	het_vs_wt	ko_response	unfiltered	1
Mtor	het_vs_wt	mrna_abnormal	filtered	0
Mtor	het_vs_wt	mrna_as_wt	filtered	0
Mtor	het_vs_wt	not_used	filtered	0
Mtor	het_vs_wt	ko_response	filtered	1
Nadk2	het_vs_wt	ko_response	unfiltered	1
Nadk2	het_vs_wt	mrna_abnormal	filtered	0
Nadk2	het_vs_wt	mrna_as_wt	filtered	0
Nadk2	het_vs_wt	not_used	filtered	0
Nadk2	het_vs_wt	ko_response	filtered	1
Nek9	het_vs_wt	ko_response	unfiltered	1
Nek9	het_vs_wt	mrna_abnormal	filtered	0
